1	Springe sobald alle ihre Getränke haben auf und rufe laut Pros. 
2	Wünsch dir einen Song.
3	Sag alle halbe Stunde die Uhrzeit an.  Wenn du es vergisst musst du zwei Schlucke trinken
4	Fange um kurz vor 00:00 Uhr an, einen Countdown rückwärts zu zählen, wie man es eigentlich nur an Silvester macht
5	Finde eine dir unbekannte Person, die ein ähnliches Obetreil trägt wie du und stoße mit ihr an.
6	"Immer wenn jemand anstoßen will, singst du ""Ein Prosi, ein Prosit der Gemütlichkeit!"
7	"Anworte auf jeden Vorschlag, den ein anderer macht, immer mit: ""Das haben die alten Römer schon so gemacht."""
8	Erzähle den dümmsten Flachwitz, den du kennst und lache dann selbst nicht mal darüber.
9	Für alles was du heute trinkst, verwendest du einen Strohhalm.
10	"Achte auf deinen linken Nachbarn. Immer,  wenn dein Nachbar ""ja"" sagt, musst du laut husten."
11	Zu jeder vollen Stunde stehst du klatschen auf und jubelst laut.
12	Lausche eine Stunde lang alle 10 min. am Tisch.
13	Kommuniziere 10 min. nur mit Fragen.
14	Nenne für 30 min. jeden, mit dem du sprichst Herbert.
15	Lege für zwei min. den Kopf auf den Tisch und lächle selbstvergessen
16	Sprich 20 min. in einem starken Dialekt, der untypisch für die Region ist, in der du dich gerade befindest oder sprich Deutsch mit starkem ausländischen Akzent. Fluche ausgiebig.
17	"Baue im Laufe des Abends folgendes Sprichwort in dein Gespräch ein: ""Rhabarberquark macht Araber stark!""."
18	"Baue im Laufe des Abends folgendes Sprichwort in dein Gespräch ein: ""Das Leben ist eine Kerze im Wind""."
19	"Baue im Laufe des Abends folgendes Sprichword in dein Gespräch ein:
""Schäferhund hat Gold im Mund""."
20	"Baue im Laufe des Abends folgendes Sprichwort in dein Gespräch ein: 
""Wer als Junge ein Vogelnest zerstört, der brennt im Alter Dörfer 
nieder""."
21	"Baue im Laufe des Abends folgendes Sprichwort in dein Gespräch ein:
""Wer auf dem Pferde reitet, vergiss Gott""."
22	"Bringe folgenden Satz in einem Gespräch an: ""Klapperschlange? Da wo
ich herkomme war ich selbst eine Klapperschlange."""
23	"Beende möglichst viele deiner Sätze mit: "" in Übereinstimmung mit der
Prophezeiung"". Am Ende des Satzes deines Gegenübers, erwiedere: Das ist das, was du denkst""."
24	"Sage jedes Mal, wenn du auf die Toilette gehst: ""ich geh dann mal aufs
Klosett. Du weißt schon, die Denkfabrik, die Keramikabteilung, da wo
der Kaiser zu Fuß hingeht."""
25	"Jedes Mal, wenn du dazu aufgefordert wirst mit jemandem 
anzustoßen, bringe folgenden Trinkspruch aus: ""Ein dreifach Hoch auf
unsere liebe Sandra Wisselfinger, (ohne die wir heute nicht 
zusammengekommen werden)"""
26	"Frage eine dir unbekannte Person, dir bei der Getränkeauswahl zu 
helfen. Du musst den Vorschlag annehmen (Ausnahme: übertrieben
starke Schnäpse und Allergien)."
27	Lache immer erst wenn alle anderen damit fertig sind.
28	Gehe für 15 min. nur noch rückwärts.
29	"Du darfst eine halbe Stunde keine Frage stellen, sonst musst du einen
Kurzen trinken."
30	"Du darfst eine halbe Stunde nur flüstern, sonst muss du einen Kurzen 
trinken."
